Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
interviewghosty_80584322	abby	Well… I mostly just walked around a lot. I sang to the animals, spoke to the fairies— 	game/episodes/interviewghosty/interviewghosty.rpy	80	abby "[what]"
interviewghosty_44b6686b	tara	Abby wait that's another episode!	game/episodes/interviewghosty/interviewghosty.rpy	82	tara "[what]"
interviewghosty_d56ec454	abby	Oh, sorry! Let's see… I also spent a lot of time with my friend, the forest spirit— 	game/episodes/interviewghosty/interviewghosty.rpy	84	abby "[what]"
interviewghosty_96186871	tara	That's also gonna be another episode! Don't worry folks, we'll fill you all in with due time!	game/episodes/interviewghosty/interviewghosty.rpy	86	tara "[what]"
interviewghosty_8b1a4746	abby	All of my activities were quite magical now that I think about it.	game/episodes/interviewghosty/interviewghosty.rpy	88	abby "[what]"
interviewghosty_34b9bc1a	tara	What do you think is society's biggest misconceptions about ghosts?	game/episodes/interviewghosty/interviewghosty.rpy	90	tara "[what]"
interviewghosty_bb7eb24e	abby	Oh, absolutely how scary they are! Ghosts in stories and films terrify me!	game/episodes/interviewghosty/interviewghosty.rpy	92	abby "[what]"
interviewghosty_6388f664	abby	But cuddling with Madison while we watch horror films isn't so bad… So maybe it's a good thing!	game/episodes/interviewghosty/interviewghosty.rpy	94	abby "[what]"
interviewghosty_6da81b3e	tara	Gay.	game/episodes/interviewghosty/interviewghosty.rpy	96	tara "[what]"
interviewghosty_cb9a03cd	tara	Our viewers demand proof for everything. That's why I put my life on the line {b}DAILY{/b} to bring them the content they deserve.	game/episodes/interviewghosty/interviewghosty.rpy	98	tara "[what]"
interviewghosty_d8b2b836	tara	We asked you to bring a souvenir from your time as a ghost. What do you got for us?	game/episodes/interviewghosty/interviewghosty.rpy	100	tara "[what]"
interviewghosty_a6167594	abby	I couldn't think of much, so instead, I thought I could demonstrate. A skill only a former ghost could perform.	game/episodes/interviewghosty/interviewghosty.rpy	102	abby "[what]"
interviewghosty_20464e67	tara	Woah! A real former-ghost demonstration!	game/episodes/interviewghosty/interviewghosty.rpy	104	tara "[what]"
interviewghosty_06afa46b	abby	Ah-hem-hem.	game/episodes/interviewghosty/interviewghosty.rpy	106	abby "[what]"
interviewghosty_b528eae5	abby	...	game/episodes/interviewghosty/interviewghosty.rpy	108	abby "[what]"
interviewghosty_6f32a42c	abby	... …. ……. … 	game/episodes/interviewghosty/interviewghosty.rpy	110	abby "[what]"
interviewghosty_b8641143	abby	... …. ………… Boo!	game/episodes/interviewghosty/interviewghosty.rpy	112	abby "[what]"
interviewghosty_3c486306	tara	...	game/episodes/interviewghosty/interviewghosty.rpy	113	tara "[what]"
interviewghosty_9097c6dd	morgan	... ...	game/episodes/interviewghosty/interviewghosty.rpy	114	morgan "[what]"
interviewghosty_bccc470d	morgan	... Ahhhh...?	game/episodes/interviewghosty/interviewghosty.rpy	116	morgan "[what]"
interviewghosty_36575fae	tara	!!!! AHHHHHH!!!	game/episodes/interviewghosty/interviewghosty.rpy	118	tara "[what]"
interviewghosty_ec477827	abby	It was merely a joke, Tara! Please don't get scared!	game/episodes/interviewghosty/interviewghosty.rpy	120	abby "[what]"
interviewghosty_4a092902	abby	... That was pretty good though, wasn't it?	game/episodes/interviewghosty/interviewghosty.rpy	122	abby "[what]"
interviewghosty_634e112e	tara	Absolutely! See right there, folks? Pure, unfiltered, fool-proof evidence!	game/episodes/interviewghosty/interviewghosty.rpy	124	tara "[what]"
interviewghosty_da0f5022	Tara	 Before we go, what's one thing you'd like to tell all the other ghosts out there?	game/episodes/interviewghosty/interviewghosty.rpy	126	Tara "[what]"
interviewghosty_407e9e57	abby	Hm… Don't lose hope! You'll find your very own someone someday soon.	game/episodes/interviewghosty/interviewghosty.rpy	128	abby "[what]"
interviewghosty_dea8a479	abby	Love is the greatest magic! You'll find a way to be together!	game/episodes/interviewghosty/interviewghosty.rpy	130	abby "[what]"
interviewghosty_d0a371d1	abby	Also, learn how to turn book pages if you haven't yet… Then try to find something called {i}manga{/i}, they're so much more fun than stuffy old 1800's texts.	game/episodes/interviewghosty/interviewghosty.rpy	132	abby "[what]"
interviewghosty_c78150e6	abby	Oh! And try floating on a plane! I never got the chance, but I bet it's really fun!	game/episodes/interviewghosty/interviewghosty.rpy	134	abby "[what]"
interviewghosty_25cb03d7	abby	And don't forget to brush your teeth!	game/episodes/interviewghosty/interviewghosty.rpy	136	abby "[what]"
interviewghosty_0a4f2a89	abby	And-	game/episodes/interviewghosty/interviewghosty.rpy	138	abby "[what]"
interviewghosty_6d6e1fbb	morgan	I think she's gonna keep going.	game/episodes/interviewghosty/interviewghosty.rpy	140	morgan "[what]"
interviewghosty_953536ba	tara	Probably.	game/episodes/interviewghosty/interviewghosty.rpy	142	tara "[what]"
interviewghosty_8621bf72	morgan	Well, that's all for this episode.	game/episodes/interviewghosty/interviewghosty.rpy	144	morgan "[what]"
interviewghosty_b07635f3	tara	I'm Tara!	game/episodes/interviewghosty/interviewghosty.rpy	146	tara "[what]"
interviewghosty_722f31ec	morgan	I'm Morgan.	game/episodes/interviewghosty/interviewghosty.rpy	148	morgan "[what]"
interviewghosty_d6bf49f0	Taramorgan	And we told you so.	game/episodes/interviewghosty/interviewghosty.rpy	150	Taramorgan "[what]"
interviewghosty_a9ce514e	tara	You did awesome, Abby!	game/episodes/interviewghosty/interviewghosty.rpy	154	tara "[what]"
interviewghosty_1df99eeb	morgan	Great job.	game/episodes/interviewghosty/interviewghosty.rpy	156	morgan "[what]"
interviewghosty_cb04fa6d	maddie	Seriously, sweetheart, you were amazing.	game/episodes/interviewghosty/interviewghosty.rpy	158	maddie "[what]"
interviewghosty_088b0420	abby	Aww, thank you girls… I couldn't do it without you!	game/episodes/interviewghosty/interviewghosty.rpy	160	abby "[what]"
interviewghosty_f4c71733	tara	Also, NICE outfit. Really nails the spooky ghost aesthetic.	game/episodes/interviewghosty/interviewghosty.rpy	162	tara "[what]"
interviewghosty_40603841	abby	I'm having so much fun trying on new outfits! I also bought one to show to Madison— 	game/episodes/interviewghosty/interviewghosty.rpy	164	abby "[what]"
interviewghosty_e62300d6	maddie	That we don't need to tell them about!	game/episodes/interviewghosty/interviewghosty.rpy	166	maddie "[what]"
interviewghosty_42b5add2	abby	I'm just teasing you, darling! Haha, don't worry.	game/episodes/interviewghosty/interviewghosty.rpy	168	abby "[what]"
interviewghosty_7aa026a6	morgan	Anyone hungry? I'm going to order a pizza.	game/episodes/interviewghosty/interviewghosty.rpy	170	morgan "[what]"
interviewghosty_f84ad72c	tara	With pineapples?	game/episodes/interviewghosty/interviewghosty.rpy	172	tara "[what]"
interviewghosty_310293ff	morgan	Of course babe.	game/episodes/interviewghosty/interviewghosty.rpy	174	morgan "[what]"
interviewghosty_e4474cff	maddie	Sure, we can stay for a bit. We've got time.	game/episodes/interviewghosty/interviewghosty.rpy	176	maddie "[what]"
itys_e2497c2b	tara	Dun dududun… dun dun dudun… dun dunnnnn…	game/episodes/itys/phasetwo.rpy	7	tara "[what]"
itys_5f662e66	maddie	What tune are you trying to replicate right now?	game/episodes/itys/phasetwo.rpy	9	maddie "[what]"
itys_25bc4ede	tara	You know, that one… like, that one. You know?	game/episodes/itys/phasetwo.rpy	11	tara "[what]"
itys_c5321188	maddie	... Sure.	game/episodes/itys/phasetwo.rpy	13	maddie "[what]"
itys_0cffa43f	tara	Meowdy, everyone! Today’s the day!	game/episodes/itys/phasetwo.rpy	20	tara "[what]"
itys_d707c8bd	tara	"The day for what?" I hear you ask. Well, ladies, sit back and get ready for me to blow your minds.	game/episodes/itys/phasetwo.rpy	23	tara "[what]"
itys_083285e8	tara	Today, we enter… PHASE TWO!	game/episodes/itys/phasetwo.rpy	26	tara "[what]"
itys_b39ed276	tara	New everything! New name, new content, and even a new co-host!	game/episodes/itys/phasetwo.rpy	35	tara "[what]"
itys_e0f6a09e	abby	Gasp!	game/episodes/itys/phasetwo.rpy	44	abby "[what]"
itys_bd248cb5	tara	I know, my dear unscripted friend. It’s quite the shock.	game/episodes/itys/phasetwo.rpy	49	tara "[what]"
itys_85754deb	tara	But now that we’ve proven conclusively that paranormal phenomena exist, it’s time to incorporate my status as a pioneer in the field of cryptozoology into the show as a whole.	game/episodes/itys/phasetwo.rpy	52	tara "[what]"
itys_866a6325	tara	And who better to do that with than my partner in discovery, partner in crime, and partner in life?	game/episodes/itys/phasetwo.rpy	55	tara "[what]"
itys_6aa4eadb	morgan	Sup. I’m Morgan.	game/episodes/itys/phasetwo.rpy	63	morgan "[what]"
itys_affb1743	tara	Isn’t she awesome? She’s so awesome. You’re so awesome, babe.	game/episodes/itys/phasetwo.rpy	71	tara "[what]"
itys_801019ea	morgan	Thanks, babe. Also, you’re gay.	game/episodes/itys/phasetwo.rpy	74	morgan "[what]"
itys_750ac930	tara	Bet.	game/episodes/itys/phasetwo.rpy	78	tara "[what]"
itys_0a97b991	tara	Anyway, Morgan will be joining me as co-host going forward! The two of us are gonna uncover every hidden secret, every last cover-up, and everything the folks at the top don’t want you to see!	game/episodes/itys/phasetwo.rpy	83	tara "[what]"
itys_1d2bc882	abby	Um… forgive me if I am mistaken, but I believe all three of those examples are the same thing, are they not?	game/episodes/itys/phasetwo.rpy	92	abby "[what]"
itys_4b0e1486	tara	Oh, Abby, you sweet yet misguided soul, all three are {i}very{/i} different. Although that may be because of all the time I’ve spent researching them.	game/episodes/itys/phasetwo.rpy	98	tara "[what]"
itys_3e2d0f5e	tara	It takes a level of insight honed by years of study to truly discern the difference.	game/episodes/itys/phasetwo.rpy	101	tara "[what]"
itys_12bb9550	morgan	Watching your show counts as research, right?	game/episodes/itys/phasetwo.rpy	105	morgan "[what]"
itys_445ddec5	tara	Naturally. The best research, even.	game/episodes/itys/phasetwo.rpy	110	tara "[what]"
itys_b6c6f2a5	morgan	Then I’m an expert too. Good to know.	game/episodes/itys/phasetwo.rpy	114	morgan "[what]"
itys_311ebf2d	tara	And it’s thanks to the tireless efforts of yours truly and her wonderful girlfriend/research partner that we were able to find real proof of the supernatural deep in the forests of [[REDACTED].	game/episodes/itys/phasetwo.rpy	118	tara "[what]"
itys_14a2e83f	maddie	No saying the name of the town, please.	game/episodes/itys/phasetwo.rpy	127	maddie "[what]"
itys_c1bb571a	tara	... Deep in the forests of an unnamed town full of magic.	game/episodes/itys/phasetwo.rpy	132	tara "[what]"
itys_6dd11445	maddie	Much better.	game/episodes/itys/phasetwo.rpy	140	maddie "[what]"
itys_b633006b	tara	Our footage of fairies, forest spirits, and other magical instances in this unnamed town catapulted us from indie darlings to worldwide sensations. It was pretty rad.	game/episodes/itys/phasetwo.rpy	147	tara "[what]"
itys_1ac52dd6	tara	So rad, in fact, that we realized we had to update the show to reflect that. And that update includes…	game/episodes/itys/phasetwo.rpy	153	tara "[what]"
itys_3dcd9825	taramorgan	A BRAND NEW NAME!	game/episodes/itys/phasetwo.rpy	160	taramorgan "[what]"
itys_369c353d	tara	That’s right, folks! It’s time to say goodbye to Taranormal, and say hello to the new and improved, extremely relevant, and very accurate title of our wonderful show!	game/episodes/itys/phasetwo.rpy	164	tara "[what]"
itys_0c06e2ac	tara	{i}I TOLD YOU SO!{/i}	game/episodes/itys/phasetwo.rpy	174	tara "[what]"
itys_caf7abf5	maddie	Wait, hang on. You told me that title was a joke. You aren’t actually going with that, are you?	game/episodes/itys/phasetwo.rpy	186	maddie "[what]"
itys_c404f062	tara	You bet your ghost-loving ass I am.	game/episodes/itys/phasetwo.rpy	191	tara "[what]"
itys_6a4a963c	tara	So many of you people out there doubted me. They said I was crazy. That I was on a wild goose chase. That what I was after was fake.	game/episodes/itys/phasetwo.rpy	194	tara "[what]"
itys_19c07fb0	tara	Well guess what? I was RIGHT! And now I’m gonna brag about it all I want!	game/episodes/itys/phasetwo.rpy	197	tara "[what]"
itys_5367f286	tara	I TOLD YOU! I TOLD YOU F-	game/episodes/itys/phasetwo.rpy	210	tara "[what]"
itys_b45cd1dc	morgan	Okay, babe. Time to take it down a notch.	game/episodes/itys/phasetwo.rpy	213	morgan "[what]"
itys_7ae537bd	tara	Fiiiiiiine. But I {i}did{/i} tell you. Which means I have every right to rub it in.	game/episodes/itys/phasetwo.rpy	218	tara "[what]"
itys_1ca8ec98	morgan	And I’m pretty good at rubbing it in, too.	game/episodes/itys/phasetwo.rpy	222	morgan "[what]"
itys_4403e03b	tara	She’s not kidding. I’ve seen her really go to town on someone, and it ruled.	game/episodes/itys/phasetwo.rpy	226	tara "[what]"
itys_28954c91	abby	She made him cry!	game/episodes/itys/phasetwo.rpy	236	abby "[what]"
itys_b3aaca40	morgan	Thanks for the reminder, sis.	game/episodes/itys/phasetwo.rpy	241	morgan "[what]"
itys_e60248cc	morgan	Anyway, I’m looking forward to getting to know all of you from a perspective other than posting in the comments section.	game/episodes/itys/phasetwo.rpy	244	morgan "[what]"
itys_b072e87e	tara	You’re still gonna post comments though, right? Cuz yours were always super sweet.	game/episodes/itys/phasetwo.rpy	248	tara "[what]"
itys_f2032589	morgan	Anything for you, babe.	game/episodes/itys/phasetwo.rpy	252	morgan "[what]"
itys_8639d006	tara	Okay, that’s kinda gay. But also I love you.	game/episodes/itys/phasetwo.rpy	256	tara "[what]"
itys_bc0c9297	morgan	Love you too. Ready to tell them about our new plans?	game/episodes/itys/phasetwo.rpy	261	morgan "[what]"
itys_992cbd3f	tara	Boy am I! We’ve got so much new stuff coming your way that I don’t even know where to start!	game/episodes/itys/phasetwo.rpy	269	tara "[what]"
itys_0a338ea1	abby	I made you a numbered list, Tara!	game/episodes/itys/phasetwo.rpy	276	abby "[what]"
itys_4e9bdddc	tara	You see this? Being awesome literally runs in their family. How’s {i}that{/i} for evolution?	game/episodes/itys/phasetwo.rpy	280	tara "[what]"
itys_f977e68d	abby	Perhaps it has something to do with our bloodline being mixed with fair-{w=1}{nw}	game/episodes/itys/phasetwo.rpy	283	abby "[what]"
itys_7534d1e6	tara	That’s right! Your bloodline was mixed with, uh… fair maidens! Everyone loves a good fair maiden.	game/episodes/itys/phasetwo.rpy	296	tara "[what]"
itys_cf30fb43	maddie	I know I do.	game/episodes/itys/phasetwo.rpy	307	maddie "[what]"
itys_a6d6ead2	abby	Oh, Madison…	game/episodes/itys/phasetwo.rpy	317	abby "[what]"
itys_01ccbee8	tara	Oh my God, you two. What am I going to do with you?	game/episodes/itys/phasetwo.rpy	320	tara "[what]"
itys_cb9ef294	morgan	Tara. The list?	game/episodes/itys/phasetwo.rpy	329	morgan "[what]"
itys_d50b8305	tara	Right, yeah. The list. Um… let’s see, first…	game/episodes/itys/phasetwo.rpy	333	tara "[what]"
itys_6e82a85c	tara	First, you can expect a lot more interviews going forward!	game/episodes/itys/phasetwo.rpy	339	tara "[what]"
itys_ad46a058	tara	Since we got our hands on some conclusive proof, tons of experts have finally started to return my c- I mean, have been asking enthusiastically to be on our show!	game/episodes/itys/phasetwo.rpy	342	tara "[what]"
itys_707861c3	morgan	We even got that one guy from that alien history show. You know the one.	game/episodes/itys/phasetwo.rpy	346	morgan "[what]"
itys_6d6c2bda	tara	Plus…… have any of you ever wanted an interview with an actual, real-life paranormal being? Well, get ready, because we just might have a little something for you there, too!	game/episodes/itys/phasetwo.rpy	350	tara "[what]"
itys_dc3538ab	morgan	But that’s not all. We’ve got non-interview stuff, too.	game/episodes/itys/phasetwo.rpy	354	morgan "[what]"
itys_ad7e6f47	tara	That’s right! We’re gonna be doing something even more fun! One of my favorite things to do, in fact.	game/episodes/itys/phasetwo.rpy	358	tara "[what]"
itys_eb766c5d	maddie	Wait, hang on, no-	game/episodes/itys/phasetwo.rpy	367	maddie "[what]"
itys_84fd0534	taramorgan	Breaking and entering!	game/episodes/itys/phasetwo.rpy	403	taramorgan "[what]"
itys_fd6af31a	maddie	You do realize that announcing your intentions in a publicly viewable announcement video is absolutely going to be considered incriminating, right? You realize how bad an idea that is, right?	game/episodes/itys/phasetwo.rpy	413	maddie "[what]"
itys_23f3ba9c	tara	Pfff, it’ll be fine. We’re celebrities now. Celebrities never get in trouble.	game/episodes/itys/phasetwo.rpy	420	tara "[what]"
itys_119e3fc7	abby	She does have a point, Madison.	game/episodes/itys/phasetwo.rpy	429	abby "[what]"
itys_693529d1	morgan	We won’t be breaking into any houses or anything. Just graveyards, ghost towns…	game/episodes/itys/phasetwo.rpy	434	morgan "[what]"
itys_f2b9fc12	tara	Secret government facilities…	game/episodes/itys/phasetwo.rpy	438	tara "[what]"
itys_405c46d9	morgan	Babe, we agreed. No telling them about that one yet.	game/episodes/itys/phasetwo.rpy	442	morgan "[what]"
itys_719649f2	tara	YET.	game/episodes/itys/phasetwo.rpy	448	tara "[what]"
itys_9efa6540	morgan	We’ll also be discussing how to successfully incorporate cryptid study into a healthy relationship.	game/episodes/itys/phasetwo.rpy	452	morgan "[what]"
itys_79cba6ca	abby	I see! So you’ll just be talking about how much you love each other for a section of each video.	game/episodes/itys/phasetwo.rpy	461	abby "[what]"
itys_a8beafa2	tara	I mean, it’s more complicated than that…	game/episodes/itys/phasetwo.rpy	466	tara "[what]"
itys_fd177f4c	morgan	That’s actually exactly what we’re going to do.	game/episodes/itys/phasetwo.rpy	469	morgan "[what]"
itys_40524b98	abby	Lovely!	game/episodes/itys/phasetwo.rpy	478	abby "[what]"
itys_a5758045	tara	And all your favorites will be returning, of course! Fanart Friday, Fact or Faketion, and Reader Mail will always be staples of the show.	game/episodes/itys/phasetwo.rpy	483	tara "[what]"
itys_45dc68e9	maddie	Don’t forget the rants.	game/episodes/itys/phasetwo.rpy	492	maddie "[what]"
itys_46d4dda2	tara	I think you mean the {i}lectures,{/i} Mads.	game/episodes/itys/phasetwo.rpy	497	tara "[what]"
itys_88c2eb12	tara	And if you want to talk rants, we can always bring back your little "monologues"...	game/episodes/itys/phasetwo.rpy	500	tara "[what]"
itys_ea25c4cd	morgan	Those were actually really fun.	game/episodes/itys/phasetwo.rpy	504	morgan "[what]"
itys_8dd96b73	tara	Should we do Morgan Movie Monologues?	game/episodes/itys/phasetwo.rpy	508	tara "[what]"
itys_66dda779	morgan	That would require watching movies.	game/episodes/itys/phasetwo.rpy	512	morgan "[what]"
itys_10baa58a	maddie	They’re FIL…{w=1}{nw}	game/episodes/itys/phasetwo.rpy	521	maddie "[what]"
itys_702a5617	extend	 you know what, never mind.	game/episodes/itys/phasetwo.rpy	529	extend "[what]"
itys_80d945e4	tara	Damn, college really did change you.	game/episodes/itys/phasetwo.rpy	534	tara "[what]"
itys_df62b602	tara	Anyway! As you can see, we won’t deprive you of any of your favorites. We’ll just be giving you even more on top of it! It’s totally win-win.	game/episodes/itys/phasetwo.rpy	538	tara "[what]"
itys_fa0da4e3	abby	Don’t forget the smug sense of self-satisfaction, Tara!	game/episodes/itys/phasetwo.rpy	547	abby "[what]"
itys_c3147c9a	tara	Oh right! That’s the most important part! We’re gonna have a ton of that.	game/episodes/itys/phasetwo.rpy	552	tara "[what]"
itys_694e674f	maddie	Great. I’m sure that’s a huge selling point.	game/episodes/itys/phasetwo.rpy	561	maddie "[what]"
itys_554b451c	morgan	I’m pretty sure it actually is, Maddie.	game/episodes/itys/phasetwo.rpy	567	morgan "[what]"
itys_d5231967	maddie	...{w=.5}{nw}	game/episodes/itys/phasetwo.rpy	569	maddie "[what]"
itys_390a361f	extend	 Yeah, it is.	game/episodes/itys/phasetwo.rpy	578	extend "[what]"
itys_eeba0dca	tara	Plus, if you ask nicely, maybe Morgan will do a segment on her workout routine.	game/episodes/itys/phasetwo.rpy	583	tara "[what]"
itys_1f3aa3c7	maddie	How is that relevant to the show?	game/episodes/itys/phasetwo.rpy	592	maddie "[what]"
itys_4c549353	morgan	It’s just a little gift from us to them. We know what the people want.	game/episodes/itys/phasetwo.rpy	598	morgan "[what]"
itys_af2cd95e	tara	I’m people.	game/episodes/itys/phasetwo.rpy	602	tara "[what]"
itys_ef563ac2	abby	I think that’s very kind of you, Morgan! I look forward to following along.	game/episodes/itys/phasetwo.rpy	611	abby "[what]"
itys_4ca76a78	tara	I’m sure we all are! Just one more reason to tune in!	game/episodes/itys/phasetwo.rpy	616	tara "[what]"
itys_0e706ffc	tara	And we’ve got even more reasons, too! So many reasons that I’m not even gonna bother naming them all cuz there’s just SO MANY. Trust me.	game/episodes/itys/phasetwo.rpy	619	tara "[what]"
itys_82c4b85a	morgan	And not because she’s making them up as she goes along.	game/episodes/itys/phasetwo.rpy	622	morgan "[what]"
itys_5592ff01	tara	Of course not. Preparedness is my middle name.	game/episodes/itys/phasetwo.rpy	626	tara "[what]"
itys_3c5acf78	abby	I thought it was Muriel.	game/episodes/itys/phasetwo.rpy	635	abby "[what]"
itys_b88823ce	maddie	It’s an expression, sweetie.	game/episodes/itys/phasetwo.rpy	644	maddie "[what]"
itys_09b9da7c	abby	Oh! Can I pick a middle name?	game/episodes/itys/phasetwo.rpy	656	abby "[what]"
itys_11feb9f3	maddie	Of course, honey. Although we should probably save that for later.	game/episodes/itys/phasetwo.rpy	661	maddie "[what]"
itys_9b4d2081	maddie	You two are going to be wrapping up now, I assume?	game/episodes/itys/phasetwo.rpy	670	maddie "[what]"
itys_8a202a72	tara	Sadly, yes. I’m sure you’re all craving more, and we’ll have it for you very very soon! So just hold on a bit longer, and we’ll deliver like you wouldn’t believe.	game/episodes/itys/phasetwo.rpy	675	tara "[what]"
itys_491a875c	morgan	We won’t be holding out on you. After all, there’s no holding back when it comes to saying…	game/episodes/itys/phasetwo.rpy	679	morgan "[what]"
itys_38c9798f	taramorgan	I TOLD YOU SO!	game/episodes/itys/phasetwo.rpy	714	taramorgan "[what]"
stayspooky_cc9a273c	tara	And {i}that’s{/i} why you should never follow faceless versions of your super cool best friend into the woods during a snowstorm. It’s really not that hard to understand.	game/episodes/stayspooky/stayspookymaddie.rpy	10	tara "[what]"
stayspooky_486e62b6	maddie	You don’t have to rub it in.	game/episodes/stayspooky/stayspookymaddie.rpy	14	maddie "[what]"
stayspooky_584f90bc	tara	Yes I do. Now then…	game/episodes/stayspooky/stayspookymaddie.rpy	18	tara "[what]"
stayspooky_5eeeda65	tara	I guess that just leaves us with the grand finale, doesn’t it? The moment you’ve all been waiting for.	game/episodes/stayspooky/stayspookymaddie.rpy	21	tara "[what]"
stayspooky_1043c727	maddie	That makes it sound like they’re excited to get rid of me.	game/episodes/stayspooky/stayspookymaddie.rpy	25	maddie "[what]"
stayspooky_87b9dde3	tara	Okay, maybe not waiting for. Uh… dreading?	game/episodes/stayspooky/stayspookymaddie.rpy	29	tara "[what]"
stayspooky_3d1ee9e6	maddie	Closer.	game/episodes/stayspooky/stayspookymaddie.rpy	33	maddie "[what]"
stayspooky_3f306ec7	abby	Despondent over?	game/episodes/stayspooky/stayspookymaddie.rpy	39	abby "[what]"
stayspooky_cec86190	morgan	Bummed about?	game/episodes/stayspooky/stayspookymaddie.rpy	44	morgan "[what]"
stayspooky_dd117c2e	tara	Yeah! Those!	game/episodes/stayspooky/stayspookymaddie.rpy	50	tara "[what]"
stayspooky_5461c76a	tara	The moment you’ve all been despondebummed about… saying farewell to my wonderful co-host, Maddie Raines.	game/episodes/stayspooky/stayspookymaddie.rpy	57	tara "[what]"
stayspooky_2bd6a4fe	tara	As you all know, she’s been with Taranormal since the very beginning. And with her departure, we say farewell to this first era of Taranormal that she helped build.	game/episodes/stayspooky/stayspookymaddie.rpy	61	tara "[what]"
stayspooky_1571da6e	tara	But hold off on those tears, ladies! Our lovely Mads is moving on to bigger and better things: first, a college degree!	game/episodes/stayspooky/stayspookymaddie.rpy	65	tara "[what]"
stayspooky_874df9ef	maddie	As a film major, of course.	game/episodes/stayspooky/stayspookymaddie.rpy	69	maddie "[what]"
stayspooky_780b4468	tara	And secondly, to spend more time with her brand new bae~	game/episodes/stayspooky/stayspookymaddie.rpy	75	tara "[what]"
stayspooky_8f7fc63b	abby	{space=30}{size=150}Boo!	game/episodes/stayspooky/stayspookymaddie.rpy	88	abby "[what]"
stayspooky_890f01db	tara	Whoa. Deja vu. I could have sworn you did that to us before once.	game/episodes/stayspooky/stayspookymaddie.rpy	98	tara "[what]"
stayspooky_763a53cc	abby	I don’t think so. I’ve never been on camera before. At least not for anyone other than Madison.	game/episodes/stayspooky/stayspookymaddie.rpy	104	abby "[what]"
stayspooky_2f5b5cf0	maddie	No time like the present, sweetie.	game/episodes/stayspooky/stayspookymaddie.rpy	109	maddie "[what]"
stayspooky_80e7c068	tara	Go ahead and introduce yourself!	game/episodes/stayspooky/stayspookymaddie.rpy	113	tara "[what]"
stayspooky_370b430c	abby	Ah, yes! Well! My name is Abigail Dalsing, and I am Madison’s beloved. It is a pleasure to meet all of you!	game/episodes/stayspooky/stayspookymaddie.rpy	117	abby "[what]"
stayspooky_77ef02bc	tara	Isn’t she great, folks?	game/episodes/stayspooky/stayspookymaddie.rpy	126	tara "[what]"
stayspooky_4b2a0980	maddie	She’s amazing. You’re amazing, sweetie.	game/episodes/stayspooky/stayspookymaddie.rpy	131	maddie "[what]"
stayspooky_8a19eeb0	abby	Oh, thank you, my love. You never fail to set my heart aflutter.	game/episodes/stayspooky/stayspookymaddie.rpy	138	abby "[what]"
stayspooky_f2bb1c3c	tara	Guys. Camera. Show.	game/episodes/stayspooky/stayspookymaddie.rpy	142	tara "[what]"
stayspooky_09a0c7f7	maddie	Oh! Right, right. Sorry.	game/episodes/stayspooky/stayspookymaddie.rpy	147	maddie "[what]"
stayspooky_5373cbdc	maddie	We’ll pick this up later, honey.	game/episodes/stayspooky/stayspookymaddie.rpy	152	maddie "[what]"
stayspooky_57332677	abby	Oooh, yes please!	game/episodes/stayspooky/stayspookymaddie.rpy	156	abby "[what]"
stayspooky_d0f690b7	tara	As you can see, Mads definitely has her priorities straight. Well, not {b}straight,{/b} obviously, but you know what I mean.	game/episodes/stayspooky/stayspookymaddie.rpy	162	tara "[what]"
stayspooky_42713a7a	morgan	Priorities gay.	game/episodes/stayspooky/stayspookymaddie.rpy	168	morgan "[what]"
stayspooky_a4f3051d	tara	This guy gets it!	game/episodes/stayspooky/stayspookymaddie.rpy	178	tara "[what]"
stayspooky_cb3e14f5	tara	Before we say our goodbyes, I want to reassure all my loving fans that the show is far from over!	game/episodes/stayspooky/stayspookymaddie.rpy	191	tara "[what]"
stayspooky_1412832b	tara	In fact, now that we’ve proved that I was right about everything all along and should never be doubted about anything ever… 	game/episodes/stayspooky/stayspookymaddie.rpy	195	tara "[what]"
stayspooky_2999be10	tara	I think we might be due for a rebranding of sorts.	game/episodes/stayspooky/stayspookymaddie.rpy	199	tara "[what]"
stayspooky_589a4b8e	maddie	But that’s a story for another time.	game/episodes/stayspooky/stayspookymaddie.rpy	203	maddie "[what]"
stayspooky_9da042e6	tara	That’s right, Mads. For now, it’s time for the big farewell.	game/episodes/stayspooky/stayspookymaddie.rpy	207	tara "[what]"
stayspooky_e5f39e95	tara	I’m… I’m gonna miss you, Mads.	game/episodes/stayspooky/stayspookymaddie.rpy	211	tara "[what]"
stayspooky_cc8dd755	maddie	I’ll miss you too. And I’ll miss this show. But I won’t be going far!	game/episodes/stayspooky/stayspookymaddie.rpy	215	maddie "[what]"
stayspooky_bb97c7cf	maddie	I do still live with you, after all.	game/episodes/stayspooky/stayspookymaddie.rpy	218	maddie "[what]"
stayspooky_f15ba5ef	tara	And you’ll be a guest on the show every now and then, right?	game/episodes/stayspooky/stayspookymaddie.rpy	221	tara "[what]"
stayspooky_0e24a429	maddie	I never said that I-	game/episodes/stayspooky/stayspookymaddie.rpy	225	maddie "[what]"
stayspooky_a4afbf98	abby	{space=30}{size=100}Of course she will!	game/episodes/stayspooky/stayspookymaddie.rpy	233	abby "[what]"
stayspooky_8b4ad89c	tara	I’m taking that as a guarantee.	game/episodes/stayspooky/stayspookymaddie.rpy	241	tara "[what]"
